metric,Prophet,Ensemble
MAE,899.1840525690243,242.66282830774676
RMSE,1198.2865627364374,338.68479980455425
MAPE,126.39688939885174,46.19399627597484
sMAPE,46.596483303741906,19.9166335127752
R2,0.15382356453935697,0.9324024493158207
