date,yhat_lower,yhat_upper,yhat
2018-12-12,202.0250124118691,4117.155574419623,5006.542375366906
2018-12-13,826.4491762493851,4434.475131304222,4904.029882983765
2018-12-14,1081.3911582559372,4854.462047462238,4625.611535043627
2018-12-15,868.6846871006909,4685.036221396549,4249.352669474063
2018-12-16,563.8678107903065,4341.044025865795,3935.2728411817143
2018-12-17,375.5291961831205,4103.531719696118,3604.251271957289
2018-12-18,263.41730168064925,4020.7254542863566,3247.5023184940587
2018-12-19,198.38195618187015,3919.6460570436707,2947.043849478926
2018-12-20,88.21311479095763,3921.3814975360124,2738.1668097269844
2018-12-21,-144.28089788054484,3725.400903202777,2515.134741736251
2018-12-22,-363.70919078120454,3561.029843337437,2346.6302091335883
2018-12-23,-423.2070050485966,3365.1473882086298,2234.9027220522285
2018-12-24,-298.8069108647238,3450.712555721346,2072.8775608979
2018-12-25,-421.8263597037845,3250.6085717472747,1783.4752205472585
2018-12-26,-495.50045377034263,3253.033398621836,1574.634419548359
2018-12-27,-529.2586146353692,3301.4982816482475,1397.0748672118066
2018-12-28,-706.858360307623,3016.6683467799817,1103.589411016209
2018-12-29,-851.0374849386328,2797.920213142481,839.0121243075632
2018-12-30,-1043.1851367748222,2762.772060104002,774.4785197534833
2018-12-31,-990.2159732587904,2938.9388595213313,559.5472590434945
2019-01-01,-31.879606603261827,3740.4756959323286,930.3240294322953
2019-01-02,-25.492418751643942,3680.5259422948843,1051.0279093903941
2019-01-03,253.60483953759962,3982.7012183850347,1761.6932894325982
2019-01-04,653.1947791160542,4590.796809708397,2061.4794621628007
2019-01-05,988.3690045117131,4600.315650010002,1144.4786920416225
2019-01-06,674.5952309499686,4464.528016040812,1738.9108439970523
2019-01-07,328.0274298277145,4168.542688950989,2181.8016926943615
2019-01-08,611.0695044777194,4345.840518080437,1336.2530755550124
2019-01-09,1276.8932088510785,5080.034861994205,3348.9050810405956
2019-01-10,1733.4746777073485,5641.542714869262,3469.0288978722724
2019-01-11,1957.4442814573285,5698.849083020965,3491.493753355459
2019-01-12,2063.4817853223353,5869.448289975689,3644.1918402174906
2019-01-13,2545.1342173035446,6489.310164815719,3683.5411807037044
2019-01-14,2838.7165816802485,6689.194050322828,3455.090859160994
2019-01-15,2446.873987976316,6497.840996890156,3355.416730852052
2019-01-16,2450.293356361677,6228.85530775816,3191.352671605044
2019-01-17,2432.4249710287995,6047.909057074072,2983.4147732227484
2019-01-18,2276.676802109256,6126.255474318684,2767.927322276934
2019-01-19,2025.9178245031778,5688.253723794771,2629.7175342133964
2019-01-20,1850.0012824481526,5747.602599990219,2692.693344749836
2019-01-21,1760.52812688376,5465.717838161081,2493.3549880737287
2019-01-22,1531.9097747510284,5211.668644411107,2407.881155921938
2019-01-23,1421.8800861188668,5344.393924817689,2273.5278129030335
2019-01-24,1303.037325061319,5142.57609474946,2098.654648672443
2019-01-25,1243.5322437734328,4967.278695760296,1902.5766558326284
2019-01-26,911.6265331074335,4666.591835113361,1763.7576794277013
2019-01-27,847.8522832562937,4514.347615836959,1675.0478678493378
2019-01-28,800.5497809403878,4685.099691720315,1464.502584863156
2019-01-29,469.77563749312617,4379.700052163813,1476.736456762451
2019-01-30,469.70309837371974,4235.465125892817,1335.2289817910391
2019-01-31,225.4562284303209,4072.122284774467,1151.567284516097
2019-02-01,84.73680424730024,3782.969250733134,1272.3767352212649
2019-02-02,108.59948845675544,3925.8471796695057,1019.8172234452827
2019-02-03,401.2445231668206,4138.884122427897,1224.6748120619234
2019-02-04,1203.395844903661,4922.423133913514,1611.2681436979801
2019-02-05,1051.7124466169694,4818.220965375098,1616.617078447909
2019-02-06,745.5757215851821,4525.887252717407,1132.4955302274336
2019-02-07,502.1573134786307,4325.66714351809,4403.685107104828
2019-02-08,1225.650338450407,4988.139899294149,3429.5828638010685
2019-02-09,1913.046995465711,5664.64698892631,2326.579177928799
2019-02-10,2248.3437943372696,6000.931798553269,2389.44733864067
2019-02-11,2620.8981254029345,6342.625396969121,2137.7304258641107
2019-02-12,3056.4802715657006,6820.832105040767,2366.442268039449
2019-02-13,3611.827816985504,7337.98097591087,2269.3223421706734
2019-02-14,3647.3047016358955,7499.2031224158345,2082.0053094736386
2019-02-15,3320.798506716749,7166.261049955443,1964.20645793215
2019-02-16,3168.886231321142,6943.1125939222275,1899.736652058105
2019-02-17,3067.9753484880757,6606.577844215324,1779.4661630542114
2019-02-18,2756.1893735740014,6550.854397318659,1589.2756319907517
2019-02-19,2357.239340021948,6343.609141265185,1637.0755772680718
2019-02-20,2246.342528446542,6071.367864512802,1488.0849833568695
2019-02-21,2034.0084358383479,5813.677212167057,1552.4548410056173
2019-02-22,1688.1952485439492,5681.659302199275,1444.8284695814473
2019-02-23,1461.700220978945,5364.708341485247,1359.4831528163902
2019-02-24,1308.9408089700034,4996.82482212237,1254.8001256300236
2019-02-25,1040.4507225487873,4902.881376880867,1062.9557022877198
2019-02-26,737.3469679545894,4487.001832281642,1008.9518069145461
2019-02-27,622.1266786410883,4425.577994861013,851.0944341309255
2019-02-28,500.836512003904,4258.985775390076,706.58238685383
2019-03-01,209.48037490895217,3970.6071476520356,607.8338670655063
2019-03-02,-79.13455204704525,3920.6832047689486,380.7680253103663
2019-03-03,3.291906071432623,3612.1381364636227,369.6016718181054
2019-03-04,47.8914775539047,3733.179514408373,303.660454019757
2019-03-05,167.5634632757431,3834.8183887406035,987.736892708318
2019-03-06,685.1535088354258,4525.045656186996,1366.4054149268952
2019-03-07,1012.0713367542074,4679.41165611645,470.2132528676591
