date,yhat_lower,yhat_upper,yhat
2018-12-12,398.98626307939423,4040.6193454177437,2298.397902813641
2018-12-13,817.5869065760054,4560.363132088062,3104.8302009303216
2018-12-14,1121.6830085720287,4990.980272039832,2944.635044952335
2018-12-15,992.8079252798086,4782.227269059418,2645.257363306811
2018-12-16,574.4536642437334,4379.357935085129,1846.4162653224203
2018-12-17,363.27088906809786,4302.6450492042395,2173.8397762280997
2018-12-18,267.854007010753,3924.7021716170575,1792.2395329128944
2018-12-19,179.8700618216722,4094.016171431881,2185.3150796470386
2018-12-20,0.7380774650053754,3706.3718167989978,2193.9917097590906
2018-12-21,-33.916671282828574,3576.0092207570315,1932.627464102948
2018-12-22,-305.59639264593227,3467.2944707810902,1616.2291220145814
2018-12-23,-258.54250515625273,3337.1842215941956,1738.5932170054448
2018-12-24,-298.83220768702205,3348.784658076298,2004.014807814432
2018-12-25,-558.6504985771727,3321.3941590120794,1689.6137039762734
2018-12-26,-577.1960057627545,3149.6460060814397,1744.6979810296307
2018-12-27,-541.8275581268696,3322.8877609647584,1673.1221225979755
2018-12-28,-643.9861983472967,2958.3571157160627,1547.1919367406683
2018-12-29,-774.4414657855102,3044.775794351381,1509.9630293181565
2018-12-30,-1062.0709021315133,2804.513392309006,1153.1194215065616
2018-12-31,-1092.7792667324625,2768.3292736431954,1173.5227468932187
2019-01-01,-19.62211305652036,3754.79396940824,1939.6989628996341
2019-01-02,-146.75736329059657,3648.8649745788452,2649.0432588079684
2019-01-03,353.5338518346534,4125.511218791351,2879.457350384305
2019-01-04,863.8821059401914,4533.881005338878,3274.0965282996563
2019-01-05,927.0568390555324,4774.010066119412,3987.522889892594
2019-01-06,628.2828928567585,4306.654887393304,2780.2510850492135
2019-01-07,302.2235827771907,4026.682309349921,2788.7408102565882
2019-01-08,607.718764066434,4302.955802306137,2505.382704892383
2019-01-09,1374.0343533788237,5103.449343227599,3520.034930556166
2019-01-10,1920.6664797521978,5539.353480263996,3566.9724778873497
2019-01-11,1828.7690613176946,5652.075742483217,3695.648756035767
2019-01-12,2219.501303271656,5904.793802517437,3778.195778177477
2019-01-13,2658.1903352742784,6540.997039654469,4076.3973980810715
2019-01-14,2947.956529241856,6670.736811730704,4607.479059807743
2019-01-15,2745.025042968248,6452.862444610722,4432.098424106754
2019-01-16,2657.6078207026803,6156.72773265872,4588.183016588379
2019-01-17,2427.68268155252,6262.589539226439,4492.677131153941
2019-01-18,2250.110464757233,6011.414357311933,4388.286065804217
2019-01-19,1934.425363731444,5597.090296978205,4148.006491672818
2019-01-20,1777.479723954378,5349.16987150019,3718.3114243995383
2019-01-21,1728.3368951235423,5633.133000961297,3884.6592351524732
2019-01-22,1478.951107483973,5260.553654857851,3672.8684406746866
2019-01-23,1395.7107990079194,5269.922750455089,3782.8023599958337
2019-01-24,1401.9381288469356,5082.688760470437,3997.9575667413665
2019-01-25,1257.4297725983563,4921.9676339849175,3591.4929532271494
2019-01-26,950.837624164337,4705.588614265098,3444.9564888458417
2019-01-27,819.354781160828,4507.333048026673,3402.8707202307446
2019-01-28,723.8233173479347,4521.784494257399,3672.9118990100797
2019-01-29,501.6606007934235,4207.4210478306495,3196.5257902799826
2019-01-30,399.8931382455452,4052.8220451879165,3416.9957434808775
2019-01-31,444.2513328655103,4028.984916938863,3080.2558304951035
2019-02-01,-7.543113554260391,3938.2505926898893,2710.8536444517217
2019-02-02,-38.70381545309092,3942.5135692479816,2834.7041108581484
2019-02-03,512.2348860648323,4188.5246105083015,2971.3483548157637
2019-02-04,1020.5616640100313,4771.429331192096,3789.4636011023927
2019-02-05,999.1333083367756,4676.751082405249,3796.4962523156273
2019-02-06,578.7033239265764,4459.1311701551085,3605.5401127830614
2019-02-07,569.0608479081715,4329.917445577352,3793.814879137787
2019-02-08,1130.816295624227,5003.947789317465,4176.798244845648
2019-02-09,1835.015796879125,5572.750148894421,4787.00036759558
2019-02-10,2226.8451201144217,5970.456272689568,4582.929905141287
2019-02-11,2625.7906046410185,6298.934472247029,5211.076673673371
2019-02-12,3020.3787829627954,6891.93325182788,5310.336188109604
2019-02-13,3671.1965303515517,7374.715908361545,6146.975400573265
2019-02-14,3481.42251618596,7403.298006843302,6355.317597660561
2019-02-15,3464.331690489328,7326.298937798104,6092.58643870093
2019-02-16,3156.1650454742603,7058.572261889868,5822.138815505496
2019-02-17,2883.2579216202407,6722.764080883424,5249.616920599491
2019-02-18,2849.9818346466755,6499.703726895886,5291.2490329537995
2019-02-19,2541.8303918216016,6308.676973004657,4782.67901845978
2019-02-20,2301.1531043176606,6164.699870434134,4819.1201707031605
2019-02-21,2239.987847303611,6100.80197421272,4653.878269728873
2019-02-22,1695.5258742824212,5656.586877087919,4615.952101540521
2019-02-23,1455.7110610808782,5131.726234557632,4293.536518399409
2019-02-24,1292.946354025066,4959.525913761467,3725.828178686068
2019-02-25,1100.8349401257854,4894.89294419963,3575.1665964270996
2019-02-26,740.7119455514758,4559.643350666837,3030.4231041694056
2019-02-27,743.8134380193029,4335.301733404936,3065.3643096126357
2019-02-28,578.7267477981321,4336.670517212077,2933.4443529054756
2019-03-01,370.79583782712007,4034.2377356638704,2034.1752140131107
2019-03-02,72.25558063534675,3787.9565515839836,1792.7061826940549
2019-03-03,-81.97093820802979,3697.549144564672,1735.3005057082596
2019-03-04,14.677783653543841,3675.7117805079965,1730.70988990012
2019-03-05,51.71092541627624,3793.9481304116794,1798.4196604776118
2019-03-06,600.7029254958912,4516.423672313117,2843.702564381916
2019-03-07,1056.8145681079573,4682.707431111475,3747.91091373642
